id,gender,customer_type,age,type_of_travel,class,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on-board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction,total_delay,average_service_rating
19556,0,0,52,0,1,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44.0,1,94.0,4.0
90035,0,0,36,0,0,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0.0,1,0.0,3.75
12360,1,1,20,0,1,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0.0,0,0.0,2.0
77959,1,0,44,0,0,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6.0,1,6.0,2.0
36875,0,0,49,0,1,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20.0,1,20.0,2.5
39177,1,0,16,0,1,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0.0,1,0.0,4.0
79433,0,0,77,0,0,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0.0,1,0.0,4.5
97286,0,0,43,0,0,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65.0,1,142.0,3.75
27508,1,0,47,0,1,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0.0,1,1.0,5.0
62482,0,0,46,0,0,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14.0,1,42.0,3.25
47583,0,0,47,0,1,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19.0,1,48.0,4.25
115550,0,0,33,0,0,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7.0,0,25.0,2.25
119987,0,0,46,0,0,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0.0,1,0.0,4.75
42141,0,0,60,0,0,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113.0,1,230.0,3.75
2274,0,0,52,0,0,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0.0,1,10.0,3.75
22470,1,0,50,1,1,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2.0,0,7.0,2.25
124915,0,0,31,0,1,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0.0,0,2.0,2.0
